disc_id	disc_name	x	y	color
1	Biology	278	62	OliveGreen
2	Biotechnology	301	124	Emerald
3	Medical Specialties	350	177	Red
4	Chemical, Mechanical, & Civil Engineering	217	142	SkyBlue
5	Chemistry	250	230	Blue
6	Earth Sciences	235	48	Mahogany
7	Electrical Engineering & Computer Science	138	196	Lavender
8	Brain Research	410	171	Dandelion
9	Humanities	484	42	Canary
10	Infectious Diseases	359	149	BrickRed
11	Math & Physics	156	229	Mulberry
12	Health Professionals	390	245	Peach
13	Social Sciences	484	147	Yellow
